price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,zipcode,lat,long,renovated,age_renovated,has_basement
12.309986615445005,3,1.0,7.074116816197362,8.639587799629844,1.0,0,3,7,98178,47.5112,-122.257,0,60,0
13.195615697878253,3,2.25,7.852050207265889,8.887790764195326,2.0,0,3,7,98125,47.721,-122.319,1,24,1
12.100717685412471,2,1.0,6.647688373563329,9.210440366976517,1.0,0,3,6,98028,47.7379,-122.233,0,82,0
13.311331132544721,4,3.0,7.581209826196346,8.517393171418904,1.0,0,5,7,98136,47.5208,-122.393,0,50,1
13.1421679654829,3,2.0,7.427144133408616,8.997270906233448,1.0,0,3,8,98074,47.6168,-122.045,0,28,0
14.018452218287162,4,4.5,8.598035579260339,11.532051392768706,1.0,0,3,11,98053,47.6561,-122.005,0,14,1
12.458778882573533,3,2.25,7.447751280047908,8.827614750837508,2.0,0,3,7,98003,47.3097,-122.327,0,20,0
12.583998677043747,3,1.5,6.966967138613983,9.181117513299279,1.0,0,3,7,98198,47.4095,-122.315,0,52,0
12.343662665771719,3,1.0,7.484930283289661,8.918784137975802,1.0,0,3,7,98146,47.5123,-122.337,0,55,1
12.685410698175234,3,2.5,7.544861068658458,8.788898309344878,2.0,0,3,7,98038,47.3684,-122.031,0,12,0
13.403777346275337,3,2.5,8.177796683277778,9.189831495344642,1.0,0,3,8,98007,47.6007,-122.145,0,50,1
13.056225711649638,2,1.0,7.057036981697891,8.699681400989514,1.0,0,4,7,98115,47.69,-122.292,0,73,1
12.644330802262578,3,1.0,7.266128779556451,9.898575508175107,1.5,0,4,7,98028,47.7558,-122.229,0,88,0
12.899222326086994,3,1.75,7.223295679562314,9.177920480720072,1.0,0,4,7,98074,47.6127,-122.045,0,38,0
13.180634172318978,5,2.0,7.501634457883413,8.486940148245216,1.5,0,3,7,98107,47.67,-122.394,0,115,0
13.384729180332174,4,3.0,7.989899374942939,8.517393171418904,2.0,0,3,9,98126,47.5714,-122.375,0,36,1
12.886643575525625,3,2.0,7.544861068658458,9.549736900114642,2.0,0,3,7,98019,47.7277,-121.962,0,21,0
